1,-0.644942,1.1856,-3.89597,-0.134346,0.145698,0.126735,0.769788,-4.7182,4.65309,0.0765438,-0.0831998,-0.0732158
2,-0.633126,1.07638,-3.942,-0.143984,0.132359,0.115669,0.756042,-4.28303,4.70808,0.0831998,-0.0765438,-0.0665598
3,-0.644531,1.1337,-3.90192,-0.132859,0.138234,0.132484,0.769788,-4.51206,4.65997,0.0765438,-0.0798718,-0.0765438
4,-0.621619,1.0704,-3.90172,-0.103745,0.138114,0.138114,0.742296,-4.26012,4.65997,0.0599038,-0.0798718,-0.0798718
5,-0.66182,1.10505,-3.84424,-0.139189,0.143984,0.115239,0.790407,-4.39754,4.59123,0.0798718,-0.0831998,-0.0665598
6,-0.662696,1.12223,-3.90172,-0.132359,0.132484,0.115239,0.790407,-4.46626,4.65997,0.0765438,-0.0765438,-0.0665598
7,-0.627689,1.12223,-3.88452,-0.138234,0.132859,0.115239,0.749169,-4.46626,4.63935,0.0798718,-0.0765438,-0.0665598
8,-0.627293,1.0994,-3.91329,-0.132359,0.120987,0.115669,0.749169,-4.37464,4.67371,0.0765438,-0.0698878,-0.0665598
9,-0.656041,1.04736,-3.93049,-0.120987,0.120987,0.134346,0.783534,-4.16851,4.69433,0.0698878,-0.0698878,-0.0765438
10,-0.627927,1.10515,-3.919,-0.138114,0.12085,0.115669,0.749169,-4.39754,4.68059,0.0798718,-0.0698878,-0.0665598
11,-0.604358,1.06464,-3.90172,-0.12868,0.121396,0.120987,0.721676,-4.23722,4.65997,0.0732158,-0.0698878,-0.0698878
12,-0.633126,1.05912,-3.83842,-0.126604,0.110695,0.113063,0.756042,-4.21431,4.58436,0.0732158,-0.0632318,-0.0632318
13,-0.621752,1.06477,-3.89022,-0.144328,0.10934,0.115239,0.742296,-4.23722,4.64622,0.0831998,-0.0632318,-0.0665598
14,-0.63888,1.09916,-3.90747,-0.140019,0.115239,0.10934,0.762915,-4.37464,4.66684,0.0798718,-0.0665598,-0.0632318
15,-0.615865,1.01865,-3.93625,-0.143984,0.109944,0.103585,0.735422,-4.05399,4.7012,0.0831998,-0.0632318,-0.0599038
16,-0.495209,0.966797,-2.9235,-0.0920759,0.143984,0.0922556,0.591087,-3.84785,3.49154,0.0532479,-0.0831998,-0.0532479
